,source,barrel,bullet,land,score_left_rollapply,score_right_rollapply,score_left_rlo,score_right_rlo,score_left_quadratic,score_right_quadratic,Notes
51,Unknowns/Bullet 'G'/HS44 - Unknown; Bullet G; Land 3 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Connor Hergenreter.dat,Unknowns,Bullet 'G',Land 3,-55.35335315,6.587162901,4.248935496,-18.30157902,31.20282074,13.33863367,
52,Unknowns/Bullet 'F'/HS44 - Unknown; Bullet F; Land 2 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Connor Hergenreter.dat,Unknowns,Bullet 'F',Land 2,5.004191175,770.5927228,0.733392869,770.5927228,23.36909412,770.5927228,
53,Unknowns/Bullet 'I'/HS44 - Unknown; Bullet I; Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Marco Yepez.dat,Unknowns,Bullet 'I',Land 1,-43.11715315,371.3705532,19.06603311,371.3705532,63.61557546,371.3705532,
54,Unknowns/Bullet 'O'/HS44 - Unknown; Bullet O; Land 2 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Connor Hergenreter.dat,Unknowns,Bullet 'O',Land 2,75.64724573,1500.549755,0.841403424,669.0484811,35.63804434,716.0182281,
55,Barrel 8/Bullet 1/HS44 - Barrel 8 - Bullet 1 - Land 6 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 8,Bullet 1,Land 6,-1089.670046,26.19275939,-384.332969,0.491963375,-668.7028455,0.491963375,devil horns
56,Unknowns/Bullet 'G'/HS44 - Unknown; Bullet G; Land 2 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Connor Hergenreter.dat,Unknowns,Bullet 'G',Land 2,75.68085095,214.3688487,1.997102394,146.5463835,16.00657024,56.6865759,
57,Barrel 7/Bullet 2/HS44 - Barrel 7 - Bullet 2 - Land 5 -Sneox2 - 20x - auto light left image + 20 perc. - Threshold 2 - Resolution 4 - Connor Hergenreter.dat,Barrel 7,Bullet 2,Land 5,-19.58134617,0,64.45990175,87.77399418,189.3000565,-214.506228,half land
58,Barrel 8/Bullet 2/HS44 - Barrel 8 - Bullet 2 - Land 2 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 8,Bullet 2,Land 2,-1734.789608,13122.74178,-244.5924361,-90.92168006,-150.440328,-68.67281076,
59,Barrel 6/Bullet 1/HS44 - Barrel 6 - Bullet 1 - Land 5 - Sneox1 - 20x - auto light left image +20 perc. & x10 - threshold 2 - resolution 4 - Allison Mark.dat,Barrel 6,Bullet 1,Land 5,-25.68182993,77.74880503,11.03793373,2.236455107,179.1857624,107.5167787,
60,Unknowns/Bullet 'G'/HS44 - Unknown; Bullet G; Land 6 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Connor Hergenreter.dat,Unknowns,Bullet 'G',Land 6,21.70736528,-18.15636551,2.545801884,-18.15636551,52.00575436,-18.15636551,
61,Unknowns/Bullet 'J'/HS44 - Unknown; Bullet J; Land 5 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Marco Yepez.dat,Unknowns,Bullet 'J',Land 5,-19.35849858,-100.2856771,4.470028121,-100.2856771,52.23431259,-100.2856771,
62,Unknowns/Bullet 'L'/HS44 - Unknown; Bullet L; Land 4 - Sneox1 - 20x - auto light left image + 20 perc - threshold 2 - resolution 4 - Connor Hergenreter.dat,Unknowns,Bullet 'L',Land 4,5.750090957,11.58554029,-169.8508033,-18.20409393,-169.8508033,10.83587164,
63,Unknowns/Bullet 'X'/HS44 - Unknown; Bullet X; Land 6 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Marco Yepez.dat,Unknowns,Bullet 'X',Land 6,-4.189259676,0,0.32828214,6.139892459,0.32828214,2.218305336,
64,Barrel 6/Bullet 1/HS44 - Barrel 6 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. & x10 - threshold 2 - resolution 4 - Allison Mark.dat,Barrel 6,Bullet 1,Land 1,-73.35150808,0,2.381097417,0.915755407,25.29436011,0.915755407,
65,Unknowns/Bullet 'O'/HS44 - Unknown; Bullet O; Land 4 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Connor Hergenreter.dat,Unknowns,Bullet 'O',Land 4,-73.91127221,175.6306379,3.404274427,15.32889745,41.40616292,92.28984091,
